number,companyName,adress,adressBystreet,dateOflicensing,stateOfbusiness,dateOfclosure,startdateOfcessation,duedateOfcessation,dateOfreOpen,areaOfsite,zip,waterwork,numOfmenWorker,yearOfStart,multipleUse,grade,sizeOfsite,numOfwomenWorker,vicintyOfsite,sanitaryName,businessCondition,totalOfworker
1,#11(Sharp eleven),서울특별시 양천구 목동 956번지 롯데캐슬위너 상가동 107호(한두3길 44) ,"서울특별시 양천구 목동중앙북로 38 (목동,롯데캐슬위너 상가동 107호(한두3길 44))",20080917,운영중,,,,,,,상수도전용,,2008,N,,20.8,,,휴게음식점,커피숍,
2,( 주)커피빈코리아청주지웰시티점,"충청북도 청주시 흥덕구 복대동 3379번지 신영지웰시티1차상업시설 124-1, 125, 126호(1층) ","충청북도 청주시 흥덕구 대농로 17 (복대동,신영지웰시티1차상업시설 124-1, 125, 126호(1층))",20101124,운영중,,,,,,,상수도전용,,2010,N,,212.72,,,휴게음식점,커피숍,
3,(aA)더블에이,경상북도 경산시 사동 39번지 108-2호,"경상북도 경산시 백자로10길 3-11, 108-2호 (사동)",20130902,운영중,,,,,,,상수도전용,,2013,N,,20.04,,아파트지역,휴게음식점,커피숍,
4,(강서)카페치따,서울특별시 강서구 등촌동 63-12번지 외 2필지 어위쉬예다인 (지상 1층) 104호,"서울특별시 강서구 양천로 452, 1층 104호 (등촌동, 3동 어위쉬예다인)",20121108,운영중,,,,,,,상수도전용,,2012,N,,64.17,,,휴게음식점,커피숍,
5,(로즈버드)명동아바타,서울특별시 중구 명동2가 83-5번지 (아바타1층1218) ,,20020911,폐업 등,20071105,,,,,,상수도전용,0,2002,N,,11.4,0,,휴게음식점,커피숍,0
6,(루앤비카페(Lu n B cafe),충청북도 청주시 서원구 사직동 720-31번지 외7필지 (1층) ,"충청북도 청주시 서원구 사직대로 246 (사직동,  (1층))",20130822,운영중,,,,,,,상수도전용,,2013,N,,10.99,,,휴게음식점,커피숍,
7,(사)꿈이자라는땅,충청남도 태안군 태안읍 동문리 453-2번지 ,충청남도 태안군 태안읍 대지길 24,20140605,운영중,,,,,,,상수도전용,,2014,N,,67.5,,,휴게음식점,커피숍,
8,(사)테크테리아,광주광역시 북구 대촌동 958-3번지 본부동 1층(126호) ,"광주광역시 북구 첨단과기로 333, 본부동 1층 126호 (대촌동)",20111209,운영중,,,,,,,상수도전용,,2011,N,,46.05,,기타,휴게음식점,커피숍,
9,(사)행복을나누는사람들행복한동행,"경기도 부천시 소사구 송내동 576-2번지 ,휴&유병원 1층 ","경기도 부천시 소사구 심곡로10번길 63, 1층 (송내동, 휴&유병원)",20130315,운영중,,,,,,,상수도전용,,2013,N,,8.2,,,휴게음식점,커피숍,
10,(사)현명한농부,광주광역시 북구 우산동 633-4번지 1층 ,"광주광역시 북구 중문로 59 (우산동,1층)",20110908,운영중,,,,,,,상수도전용,,2011,N,,39.92,,기타,휴게음식점,커피숍,
11,(스위트존세번째이야기)푸른섬,서울특별시 종로구 내자동 112-3번지 101호 (지상1층) ,,20080620,폐업 등,20090504,,,,,,,,2008,N,기타,23.33,,학교정화(상대),휴게음식점,커피숍,
12,(유)바늘쟁이,전라남도 순천시 조례동 1620-2번지 1층 ,"전라남도 순천시 장선배기길 70, 1층 (조례동)",20140317,운영중,,,,,,,상수도전용,,2014,N,,27.95,,기타,휴게음식점,커피숍,
13,(유)씨네구백,전라남도 순천시 덕암동 151번지 칼라힐아울렛(5층) ,"전라남도 순천시 충효로 15 (덕암동,칼라힐아울렛(5층))",20100127,운영중,,,,,,,상수도전용,,2010,N,,116.85,,기타,휴게음식점,커피숍,
14,(유)엠에프리테일 노원점,서울특별시 노원구 상계동 292-1번지 와우쇼핑몰3층 ,"서울특별시 노원구 노해로 507, 3층 (상계동, 와우쇼핑몰)",20141028,운영중,,,,,,,,,2014,N,,3.36,,,휴게음식점,커피숍,
15,(유)자람터라스또리아,전라남도 목포시 상동 713-46번지 ,전라남도 목포시 옥암로 149 (상동),20110811,운영중,,,,,,,상수도전용,,2011,N,,36,2,기타,휴게음식점,커피숍,
16,(유)코올엔터테인먼트반디아미르핑크점,전라남도 목포시 무안동 3-5번지 ,,20060829,폐업 등,20070827,,,,,,상수도전용,0,2006,N,,43,2,기타,휴게음식점,커피숍,2
17,(유)헐리우드시네마,전라북도 남원시 쌍교동 82-1번지 ,,20090624,폐업 등,20091123,,,,,,상수도전용,,2009,N,,15.46,,,휴게음식점,커피숍,
